sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
4841,6401,Phantom Kamaitachi (pet),700.0,76085.0,,Default Target,[],415278614.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]"
5870,6402,Auto,90.0,11863.0,,Default Target,[],10250836.0,"['Battle Voice', 'Brotherhood', 'Dokumori', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Starry Muse', ""The Wanderer's Minuet""]"
6000,6578,Royal Authority,460.0,48704.0,,Default Target,[],171408888.0,"['Battle Voice', 'Brotherhood', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]"
6580,6580,the Balance,,,,,,,[]
6580,6580,Card,,,,,,,[]
6625,6625,Fight or Flight,,,,,,,[]
6800,6800,Subtractive Palette,,,,,,,[]
6080,6838,Shot,80.0,12297.0,,Default Target,[],11187793.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]"
6320,6940,Leaping Opo,460.0,108883.0,,Default Target,"['Opo-opo Form', ""Opo-opo's Fury""]",157763768.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Opo-opo Form', ""Opo-opo's Fury"", 'Riddle of Fire', 'Starry Muse', ""The Wanderer's Minuet""]"
5960,7030,Fall Malefic,270.0,46894.0,,Default Target,[],136942877.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Lightspeed', 'Starry Muse', ""The Wanderer's Minuet""]"
6501,7033,Auto,90.0,11907.0,,Default Target,[],10524544.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Darkside', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7049,7049,Armor Crush (pet),160.0,22836.0,,Default Target,[],38898055.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7060,7060,Raging Strikes,,,,,,,[]
6590,7122,Auto,90.0,11734.0,,Default Target,[],10268855.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
6250,7150,Salted Earth,50.0,6582.0,,Default Target,[],3215805.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Darkside', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]"
6100,7350,Star Prism,1100.0,217789.0,,Default Target,['5 Hyperphantasia'],3501353210.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Inspiration', 'Starry Muse', ""The Wanderer's Minuet""]"
-1030,7500,Stormbite (dot),25.0,3085.0,,Default Target,[],663474.0,[]
-200,7500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
1310,7500,Combust III (dot),70.0,10097.0,,Default Target,[],5449658.0,"['Grade 4 Gemdraught', 'Lightspeed', ""The Wanderer's Minuet""]"
1460,7500,Caustic Bite (dot),20.0,2493.0,,Default Target,[],441151.0,"[""The Wanderer's Minuet""]"
6250,7500,Salted Earth (dot),50.0,6582.0,,Default Target,[],3215805.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Darkside', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]"
6978,7510,Auto,90.0,8050.0,,Default Target,[],4809997.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7560,7560,Riddle of Wind,,,,,,,[]
6961,7581,Armor Crush,500.0,76767.0,,Default Target,"['Bunshin', 'Kazematoi']",439573854.0,"['Battle Voice', 'Brotherhood', 'Bunshin', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
7200,7820,Lord of Crowns,400.0,74583.0,,Default Target,[],368834086.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Lightspeed', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]"
